number,question,reversed,category,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10
39,Gets nervous easily,0,N,1,2,1,2,2,1,1,1,1,1
4,"Is depressed, blue",0,N,2,5,5,5,5,1,5,5,5,5
21,Tends to be quiet,1,E,5,4,5,,5,,1,5,,5
36,"Is outgoing, sociable",0,E,5,4,5,,5,,4,5,,5
25,Is inventive,0,O,,5,5,5,5,5,,5,5,5
15,"Is ingenious, a deep thinker",0,O,,5,5,5,5,5,,5,5,5
9,"Is relaxed, handles stress well",1,N,1,1,1,1,1,1,1,1,1,1
16,Generates a lot of enthusiasm,0,E,5,5,5,,5,,4,5,,5
19,Worries a lot,0,N,4,4,4,4,2,2,2,4,4,4
27,Can be cold and aloof,1,A,5,5,5,2,5,5,5,5,5,5
30,"Values artistic, aesthetic experiences",0,O,,5,5,5,5,1,,5,1,5
29,Can be moody,0,N,2,4,2,3,3,2,2,4,4,2
17,Has a forgiving nature,0,A,5,4,5,4,4,5,5,4,4,5
6,Is reserved,1,E,5,1,5,,5,,1,5,,5
5,"Is original, comes up with new ideas",0,O,5,5,5,5,5,5,,5,5,5
8,Can be somewhat careless,1,C,5,5,4,5,4,1,4,4,4,4
12,Starts quarrels with others,1,A,5,5,5,4,5,5,5,5,5,5
13,Is a reliable worker,0,C,5,5,5,5,5,1,5,5,5,5
33,Does things efficiently,0,C,5,5,5,5,5,4,5,5,5,5
11,Is full of energy,0,E,5,5,5,,5,,4,4,,4
2,Tends to find fault with others,1,A,1,1,1,1,1,1,5,2,1,1
32,Is considerate and kind to almost everyone,0,A,5,5,5,2,5,5,5,5,5,5
10,Is curious about many different things,0,O,,5,5,5,5,5,,5,5,5
34,Remains calm in tense situations,1,N,1,1,1,1,1,1,1,1,1,1
3,Does a thorough job,0,C,5,5,5,1,5,2,5,5,5,5
1,Is talkative,0,E,5,1,5,,5,0,1,2,1,5
22,Is generally trusting,0,A,5,4,5,1,4,5,5,3,4,4
41,Has few artistic interests,1,O,,5,5,5,4,5,,5,5,5
31,"Is sometimes shy, inhibited",1,E,4,4,4,,3,,5,4,,5
35,Prefers work that is routine,1,O,,5,5,5,4,4,,5,5,5
26,Has an assertive personality,0,E,4,4,4,,5,,4,4,,4
28,Perseveres until the task is finished,0,C,5,5,5,5,5,1,5,5,5,5
37,Is sometimes rude to others,1,A,2,2,2,1,4,2,2,5,2,2
44,"Is sophisticated in art, music, or literature",0,O,,5,5,4,5,4,,5,5,4
40,"Likes to reflect, play with ideas",0,O,,5,5,5,5,,,5,4,4
18,Tends to be disorganized,1,C,2,5,5,4,3,2,4,4,4,5
14,Can be tense,0,N,3,3,2,2,3,3,3,1,1,1
43,Is easily distracted,1,C,5,5,5,4,5,5,5,4,5,5
23,Tends to be lazy,1,C,5,5,5,5,5,1,5,4,5,5
24,"Is emotionally stable, not easily upset",1,N,1,1,1,1,1,5,1,1,1,1
38,Makes plans and follows through with them,0,C,5,5,5,5,5,5,5,5,5,5
42,Likes to cooperate with others,0,A,5,5,5,5,5,5,5,2,5,5
7,Is helpful and unselfish with others,0,A,5,5,5,5,5,5,5,5,5,5
20,Has an active imagination,0,O,,5,5,5,5,5,,5,5,5
