trait,model1,model2,label,mean_M1,mean_M2,U,p_value
Extraversion,Qwen3-4B,Llama3.2-3B,label,2.38,4.38,0.0,1.5937911688066244e-05
Agreeableness,Qwen3-4B,Llama3.2-3B,label,4.44,4.44,50.0,1.0
Conscientiousness,Qwen3-4B,Llama3.2-3B,label,5.0,4.44,100.0,1.5937911688066244e-05
Neuroticism,Qwen3-4B,Llama3.2-3B,label,2.5,1.96,100.0,4.040224543100724e-05
Openness,Qwen3-4B,Llama3.2-3B,label,4.3,4.71,0.0,5.109725334683687e-05
Extraversion,Qwen3-4B,Llama3.2-3B,number,2.62,4.12,0.0,1.5937911688066244e-05
Agreeableness,Qwen3-4B,Llama3.2-3B,number,4.56,4.44,100.0,1.5937911688066244e-05
Conscientiousness,Qwen3-4B,Llama3.2-3B,number,4.22,4.33,0.0,1.5937911688066244e-05
Neuroticism,Qwen3-4B,Llama3.2-3B,number,2.38,2.17,90.0,0.00044051921287451397
Openness,Qwen3-4B,Llama3.2-3B,number,4.0,4.5,0.0,1.5937911688066244e-05
Extraversion,Qwen3-4B,Llama3.2-3B,text,1.62,3.88,0.0,1.5937911688066244e-05
Agreeableness,Qwen3-4B,Llama3.2-3B,text,4.56,4.11,100.0,1.5937911688066244e-05
Conscientiousness,Qwen3-4B,Llama3.2-3B,text,5.0,4.44,100.0,1.5937911688066244e-05
Neuroticism,Qwen3-4B,Llama3.2-3B,text,1.25,2.5,0.0,5.469864163379713e-05
Openness,Qwen3-4B,Llama3.2-3B,text,3.7,4.35,0.0,4.7682291610117017e-05
